Sample Index,Value
0,2948
1,5792
2,5933
3,7489
4,8169
5,7895
6,6697
7,4717
8,2184
9,-802
10,-2948
11,-5648
12,-5933
13,-6332
14,-6697
15,-7026
16,-7224
17,-7405
18,-7643
19,-7839
20,-7946
21,-8034
22,-8130
23,-8182
24,-8192
25,-8182
26,-8130
27,-8071
28,-7992
29,-7839
30,-7643
31,-7489
32,-7317
33,-7026
34,-6697
35,-6458
36,-6069
37,-5648
38,-5196
39,-4717
40,-4211
41,-3683
42,-2948
43,-2184
44,-1400
45,-401
46,3319
47,5648
48,7224
49,8103
50,8034
51,7127
52,5350
53,2948
54,0
55,-3134
56,-3683
57,-4211
58,-4717
59,-5196
60,-5648
61,-6069
62,-6458
63,-6811
64,-7026
65,-7317
66,-7568
67,-7713
68,-7839
69,-7992
70,-8103
71,-8152
72,-8189
73,-8182
74,-8152
75,-8103
76,-7992
77,-7839
78,-7713
79,-7489
80,-7224
81,-7026
82,-6811
83,-6458
84,-6069
85,-5648
86,-5196
87,-4717
88,-4211
89,-3683
90,-2948
91,-2184
92,-1400
93,-401
94,3319
95,5648
96,7224
97,8103
98,8034
99,7026
100,5350
101,2948
102,0
103,-3502
104,-4037
105,-4551
106,-5039
107,-5501
108,-5933
109,-6332
110,-6697
111,-7026
112,-7317
113,-7489
114,-7713
115,-7895
116,-7992
117,-8071
118,-8152
119,-8189
120,-8189
121,-8152
122,-8071
123,-7992
124,-7895
125,-7713
126,-7489
127,-7317
128,-7026
129,-6697
130,-6458
131,-6203
132,-5792
133,-5350
134,-4879
135,-4382
136,-3861
137,-3134
138,-2378
139,-1598
140,-602
141,3134
142,5501
143,7127
144,8071
145,8103
146,7224
147,5648
148,3319
149,401
150,-602
151,-4037
152,-4382
153,-4879
154,-5350
155,-5792
156,-6203
157,-6579
158,-6921
159,-7127
160,-7405
161,-7643
162,-7778
163,-7895
164,-8034
165,-8130
166,-8169
167,-8192
168,-8182
169,-8152
170,-8103
171,-7992
172,-7839
173,-7713
174,-7568
175,-7317
176,-7026
177,-6811
178,-6458
179,-6069
180,-5648
181,-5196
182,-4717
183,-4211
184,-3683
185,-2948
186,-2184
187,-1400
188,-401
189,3319
190,5648
191,7224
192,8071
193,8071
194,7224
195,5501
196,3134
197,201
198,-1794
199,-2569
200,-3134
201,-3861
202,-4551
203,-5039
204,-5501
205,-5933
206,-6332
207,-6697
208,-7026
209,-7317
210,-7489
211,-7643
212,-7839
213,-7992
214,-8071
215,-8152
216,-8189
217,-8189
218,-8169
219,-8103
220,-7992
221,-7895
222,-7713
223,-7489
224,-7317
225,-7127
226,-6811
227,-6458
228,-6203
229,-5792
230,-5350
231,-4879
232,-4382
233,-3861
234,-3134
235,-2378
236,-1598
237,-602
238,-201
239,-201
240,-201
241,-201
242,-201
243,-201
244,-201
245,-201
246,-201
247,-201
248,-201
249,-201
250,-201
251,-201
252,-201
253,-201
254,-201
255,-201
256,-201
257,-201
258,-201
259,-201
260,-201
261,-201
262,-201
263,-201
264,-201
265,-201
266,-201
267,-201
268,-201
269,-201
270,-201
271,-201
272,-201
273,-201
274,-201
275,-201
276,-201
277,-201
278,-201
279,-201
280,-201
281,-201
282,-201
283,-201
284,-201
285,-201
286,-201
287,-201
288,-201
289,-201
290,-201
291,-201
292,-201
293,-201
294,-201
295,-201
296,-201
297,-201
298,-201
299,-201
300,-201
301,-201
302,-201
303,-201
304,-201
305,-201
306,-201
307,-201
308,-201
309,-201
310,-201
311,-201
312,-201
313,-201
314,-201
315,-201
316,-201
317,-201
318,-201
319,-201
320,-201
321,-201
322,-201
323,-201
324,-201
325,-201
326,-201
327,-201
328,-201
329,-201
330,-201
331,-201
332,-201
333,-201
334,-201
335,-201
336,-201
337,-201
338,-201
339,-201
340,-201
341,-201
342,-201
343,-201
344,-201
345,-201
346,-201
347,-201
348,-201
349,-201
350,-201
351,-201
352,-201
353,-201
354,-201
355,-201
356,-201
357,-201
358,-201
359,-201
360,-201
361,-201
362,-201
363,-201
364,-201
365,-201
366,-201
367,-201
368,-201
369,-201
370,-201
371,-201
372,-201
373,-201
374,-201
375,-201
376,-201
377,-201
378,-201
379,-201
380,-201
381,-201
382,-201
383,-201
384,-201
385,-201
386,-201
387,-201
388,-201
389,-201
390,-201
391,-201
392,-201
393,-201
394,-201
395,-201
396,-201
397,-201
398,-201
399,-201
400,-201
401,-201
402,-201
403,-201
404,-201
405,-201
406,-201
407,-201
408,-201
409,-201
410,-201
411,-201
412,-201
413,-201
414,-201
415,-201
416,-201
417,-201
418,-201
419,-201
420,-201
421,-201
422,-201
423,-201
424,-201
425,-201
426,-201
427,-201
428,-201
429,-201
430,-201
431,-201
432,-201
433,-201
434,-201
435,-201
436,-201
437,-201
438,-201
439,-201
440,-201
441,-201
442,-201
443,-201
444,-201
445,-201
446,-201
447,-201
448,-201
449,-201
450,-201
451,-201
452,-201
453,-201
454,-201
455,-201
456,-201
457,-201
458,-201
459,-201
460,-201
461,-201
462,-201
463,-201
464,-201
465,-201
466,-201
467,-201
468,-201
469,-201
470,-201
471,-201
472,-201
473,-201
474,-201
475,-201
476,-201
477,-201
478,-201
479,-201
480,-201
481,-201
482,-201
483,-201
484,-201
485,-201
486,-201
487,-201
488,-201
489,-201
490,-201
491,-201
492,-201
493,-201
494,-201
495,-201
496,-201
497,-201
498,-201
